Link,Date,TIME,DAY OF WEEK,CATEGORY,Project duration,Difficulty,Copy,PHOTO COLORS,Reposted?,Reach,Shares,Likes,Comments,Clicks,%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24551384094452482/?type=3,03/02/2023,16:03,Thursday,kitchen,2 hours,easy,"Instead of painting her old oak cabinets, look what this woman does in half the time https://www.hometalk.com/l/oniA","person, brown, hand gesture",yes,406393,45,142,28,29048,7.15%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24551938624397029/?type=3,03/02/2023,19:03,Thursday,upcycle,3 hours,medium,"She takes off the back of an old hutch, paints it, and then does this https://www.hometalk.com/l/H4Qf","brown, vintage furniture hutch",,212132,10,134,27,10286,4.85%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24550973924493499/?type=3,03/02/2023,14:03,Thursday,outdoor,4 hours,medium,How a pallet can make your porch more high-end https://www.hometalk.com/l/LOBJ,"blue, person, outdoors",,94675,7,45,1,2226,2.35%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24549131051344453/?type=3,03/02/2023,7:03,Thursday,Bathroom,,,You might want to rethink your bathtub when you see this https://www.hometalk.com/l/wVNn,"white, bathtub",,104417,6,53,2,2151,2.06%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24550516251205933/?type=3,03/02/2023,12:03,Thursday,upcycle,1 day,easy,Why we're using fabric scraps on all of our old pieces of furniture https://www.hometalk.com/l/v8aaM,"white, blue, hands",,89774,4,29,0,1919,2.14%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24557011077223117/?type=3,03/03/2023,14:03,Friday,home improvement,5 days,medium,She breaks the ceiling over her staircase and the result is breathtaking https://www.hometalk.com/l/1qPK,"white, staircase",,434586,21,303,35,25044,5.76%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24556543247269900/?type=3,03/03/2023,12:03,Friday,St. Patricks,5 minutes,easy,Why everyone's putting a spare belt on their tabletop this month (clever!) https://www.hometalk.com/l/SgeWd,"black, white, belt",,176018,2,64,17,6098,3.46%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24557461740511384/?type=3,03/03/2023,16:03,Friday,Bedroom,,,Why this couple taped up their bedroom blinds https://www.hometalk.com/l/jhr0,"bad photo, window, white",,106744,2,29,3,5247,4.92%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24555021724088719/?type=3,03/03/2023,7:03,Friday,Staircase,6 hours,medium,Put bits of masking tape on your stairs for the easiest update we've ever seen https://www.hometalk.com/l/1Fd2,"staircase, brown",,156791,8,39,1,2740,1.75%
https://www.facebook.com/Hometalk/photos/a.230340873650143/24558100107114214/?type=3,03/03/2023,19:03,Friday,front door,2 hours,easy,"She cuts up a wreath and hangs it over her door for the coolest hack. https://www.hometalk.com/l/DjXI

Shared by: Chloe Crabtree","blue, door, wire",,112372,6,29,1,1370,1.22%
